,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
300,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,80,1,1,3,0,0
2824,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,300,1,3,7,0,0
6868,5.0,0,0,0,1,0,2,1.0,1.0,0,1,0,0,75,1,3,1125,0,14
5460,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,35,1,1,1125,131,17
3265,1.0,1,0,0,0,0,10,3.0,5.0,1,0,0,0,995,1,3,14,215,29
1710,1.0,1,0,0,0,0,5,1.0,2.0,1,0,0,0,60,1,14,1125,0,3
7700,27.0,0,0,0,1,0,3,1.0,1.0,1,0,0,0,157,1,1,1125,35,0
3771,1.0,1,0,0,0,0,6,1.0,1.0,1,0,0,0,85,1,1,1125,0,0
563,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,55,2,1,1125,0,4
5014,2.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,125,1,2,90,354,56
3702,1.0,1,0,0,0,0,10,2.0,4.0,1,0,0,0,550,1,2,29,360,8
5332,2.0,1,0,0,0,0,4,2.0,2.0,1,0,0,0,350,1,2,1125,0,1
155,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,103,2,1,120,223,281
2281,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,225,1,3,1125,0,2
4917,2.0,0,0,0,1,0,5,2.0,2.0,1,0,0,0,150,2,2,180,172,6
560,1.0,1,0,0,0,0,5,4.0,3.0,1,0,0,0,550,1,1,1125,0,0
3013,1.0,1,0,0,0,0,3,1.0,0.0,1,0,0,0,145,2,2,7,0,0
5540,2.0,1,0,0,0,0,3,1.0,0.0,1,0,0,0,100,1,2,60,144,7
7758,33.0,1,0,0,0,0,10,3.0,5.0,1,0,0,0,333,1,2,1125,331,11
3287,1.0,1,0,0,0,0,2,1.0,0.0,1,0,0,0,650,1,1,1125,0,0
810,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,65,1,1,90,169,10
4715,2.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,60,2,1,5,1,25
